GameIndex,Date,Color,Opponent,Outcome,TimeControl,Termination,MyMoves,Blunders,Mistakes,Inaccuracies,TotalCPLoss,AvgCPLoss,MedianMoveCPLoss
94,2026.03.05,Black,RedPandasDad,Win,600,KatsMeow23 won by resignation,19,0,1,1,431,22.68421052631579,2.0
95,2026.03.05,White,Fnizz,Win,600,KatsMeow23 won - game abandoned,25,2,1,7,1923,76.92,39.0
96,2026.03.05,White,bthe1who,Loss,600,bthe1who won by resignation,25,1,3,5,1780,71.2,34.0
97,2026.03.05,Black,sugarray89,Win,600,KatsMeow23 won by resignation,21,3,0,4,2052,97.71428571428571,34.0
98,2026.03.05,Black,mindstalk26,Win,180+2,KatsMeow23 won on time,43,0,4,12,2140,49.76744186046512,30.0
99,2026.03.05,White,Piewpz,Loss,180+2,Piewpz won on time,20,0,2,2,728,36.4,7.0
100,2026.03.06,White,TheTwoBlunderWonder,Win,600,KatsMeow23 won by resignation,34,2,3,4,2083,61.26470588235294,10.5
101,2026.03.06,Black,03xav,Loss,600,03xav won by checkmate,42,4,2,10,4463,106.26190476190476,19.5
102,2026.03.06,Black,arshad_yo,Win,180+2,KatsMeow23 won on time,59,7,2,15,5336,90.44067796610169,40.0
103,2026.03.06,White,maksutko06,Win,180+2,KatsMeow23 won on time,37,2,3,9,2911,78.67567567567568,15.0
104,2026.03.06,Black,jel_n,Win,180+2,KatsMeow23 won by resignation,22,0,3,2,1053,47.86363636363637,18.0
105,2026.03.06,Black,sac_da_king215,Win,180+2,KatsMeow23 won on time,21,2,2,4,2397,114.14285714285714,18.0
106,2026.03.06,White,Franz_462,Loss,180+2,Franz_462 won by resignation,57,1,5,10,2935,51.49122807017544,25.0
107,2026.03.06,White,eladin89,Loss,180+2,eladin89 won on time,40,3,3,11,3681,92.025,40.5
108,2026.03.06,Black,Tigran075,Win,180+2,KatsMeow23 won by checkmate,18,0,0,5,676,37.55555555555556,20.5
