GameIndex,Date,Color,Opponent,Outcome,TimeControl,Termination,PlyIndex,Phase,MoveUCI,EvalBeforeCP,EvalAfterCP,RawCPLoss,CPLoss,MoveLabel,MoveNumber,SideToMove,MoveSAN,FENBefore,MoveTypeV1,SANTypeV1,BoardZoneV1,PhaseLabelV1,BlunderClassV2
126,2026.03.08,White,stev123321,Loss,180+2,stev123321 won on time,47,Endgame,g2g3,-798,-9997,9199,1000,Blunder,24,White,Kg3,r5k1/pbpp2pp/1p3r2/6q1/6P1/2PB4/P1Q2RK1/R3n3 w - - 2 24,Pawn move,King move,Kingside-related,Endgame blunder,Unsafe king move
127,2026.03.04,White,Nombrefake2,Win,1/86400,KatsMeow23 won by resignation,35,Middlegame,e6e3,353,13,340,340,Blunder,18,White,Qe3,r5k1/1p1n1r1p/p3Qp1p/q7/1b1P2P1/2N5/PPP1NP1P/R3K2R w KQ - 0 18,Piece move,Non-capture,Central-related,Middlegame blunder,Quiet move blunder
128,2026.03.08,Black,FrulaMira,Win,180+2,KatsMeow23 won by checkmate,24,Middlegame,a8a7,354,-42,396,396,Blunder,12,Black,Ra7,rnb1k2r/4qppp/p7/1ppQN3/8/P7/1PP2PPP/R3KB1R b KQkq - 0 12,Piece move,Non-capture,Queenside-related,Early middlegame blunder,Quiet move blunder
128,2026.03.08,Black,FrulaMira,Win,180+2,KatsMeow23 won by checkmate,28,Middlegame,c8e6,423,-48,471,471,Blunder,14,Black,Be6,1nb2rk1/r3qppp/p7/1ppQN3/8/P5P1/1PP2P1P/2KR1B1R b - - 0 14,Piece move,Non-capture,Queenside-related,Early middlegame blunder,Quiet move blunder
128,2026.03.08,Black,FrulaMira,Win,180+2,KatsMeow23 won by checkmate,76,Middlegame,e7f5,9994,927,9067,1000,Blunder,38,Black,Nf5,5rk1/4npp1/4b2p/8/p7/1q6/1P1K4/1R4R1 b - - 1 38,Pawn move,Non-capture,Kingside-related,Middlegame blunder,Kingside weakening move
128,2026.03.08,Black,FrulaMira,Win,180+2,KatsMeow23 won by checkmate,82,Middlegame,c2g6,9997,943,9054,1000,Blunder,41,Black,Qg6+,5rk1/5pp1/4b2p/8/p2n4/6K1/1Pq5/1R4R1 b - - 7 41,Pawn move,Non-capture,Kingside-related,Middlegame blunder,Kingside weakening move
128,2026.03.08,Black,FrulaMira,Win,180+2,KatsMeow23 won by checkmate,86,Middlegame,d4f3,9998,811,9187,1000,Blunder,43,Black,Nf3,5rk1/5pp1/4b2p/7q/p2n4/8/1P4K1/1R4R1 b - - 11 43,Piece move,Non-capture,Kingside-related,Middlegame blunder,Quiet move blunder
128,2026.03.08,Black,FrulaMira,Win,180+2,KatsMeow23 won by checkmate,94,Middlegame,d5h1,9998,1032,8966,1000,Blunder,47,Black,Bxh1,5rk1/5pp1/7p/3b4/p5q1/1P6/3n1K2/3R3R b - - 2 47,Piece move,Capture,Kingside-related,Middlegame blunder,Unsafe capture
128,2026.03.08,Black,FrulaMira,Win,180+2,KatsMeow23 won by checkmate,98,Middlegame,f3e3,9998,883,9115,1000,Blunder,49,Black,Qe3+,5rk1/5pp1/7p/8/p7/1P3q2/3R4/4K2b b - - 2 49,Piece move,Non-capture,Kingside-related,Middlegame blunder,Quiet move blunder
128,2026.03.08,Black,FrulaMira,Win,180+2,KatsMeow23 won by checkmate,106,Middlegame,b3b2,9999,1258,8741,1000,Blunder,53,Black,b2,5rk1/5pp1/7p/8/8/1p6/2q5/4RK1b b - - 3 53,Piece move,Non-capture,Queenside-related,Middlegame blunder,Quiet move blunder
128,2026.03.08,Black,FrulaMira,Win,180+2,KatsMeow23 won by checkmate,110,Endgame,h1g2,9992,1002,8990,1000,Blunder,55,Black,Bg2+,5rk1/5pp1/7p/8/8/8/1p6/2q1RK1b b - - 3 55,Piece move,Non-capture,Kingside-related,Endgame blunder,Endgame conversion/collapse
129,2026.03.09,White,Hellterrorx1234,Draw,180+2,Game drawn by repetition,31,Middlegame,c3a4,193,-205,398,398,Blunder,16,White,Na4,B1kr1b1r/p2bq2p/1pp2n2/4p3/8/1QN5/PP3PPP/R1B2RK1 w - - 0 16,Piece move,Non-capture,Queenside-related,Middlegame blunder,Quiet move blunder
129,2026.03.09,White,Hellterrorx1234,Draw,180+2,Game drawn by repetition,85,Middlegame,e8d8,511,-4,515,515,Blunder,43,White,Rd8,4R3/5k2/8/8/3b3K/6P1/7P/8 w - - 0 43,Piece move,Non-capture,Central-related,Middlegame blunder,Quiet move blunder
130,2026.03.06,White,shrey4353l,Win,1/86400,KatsMeow23 won by resignation,51,Endgame,b1d1,498,-308,806,806,Blunder,26,White,Rd1,3q2k1/p1p2p1p/2B3p1/1N5r/8/1N3P2/P2b2PP/1R3Q1K w - - 3 26,Piece move,Non-capture,Queenside-related,Endgame blunder,Endgame conversion/collapse
130,2026.03.06,White,shrey4353l,Win,1/86400,KatsMeow23 won by resignation,57,Endgame,f1g1,429,-9997,10426,1000,Blunder,29,White,Qg1,6k1/p1p2p1p/2B3p1/1N5r/3R1b2/1N3PqP/P5P1/5Q1K w - - 3 29,Piece move,Non-capture,Kingside-related,Endgame blunder,Endgame conversion/collapse
130,2026.03.06,White,shrey4353l,Win,1/86400,KatsMeow23 won by resignation,59,Endgame,b5a7,221,-9997,10218,1000,Blunder,30,White,Na7,6k1/2p2p1p/p1B3p1/1N5r/3R1b2/1N3PqP/P5P1/6QK w - - 0 30,Piece move,Non-capture,Queenside-related,Endgame blunder,Endgame conversion/collapse
130,2026.03.06,White,shrey4353l,Win,1/86400,KatsMeow23 won by resignation,61,Endgame,d4g4,226,-9997,10223,1000,Blunder,31,White,Rg4,6k1/N1p2p1p/p1B3p1/4b2r/3R4/1N3PqP/P5P1/6QK w - - 2 31,Piece move,Non-capture,Kingside-related,Endgame blunder,Endgame conversion/collapse
131,2026.03.09,White,orthobro555,Loss,180+2,orthobro555 won by checkmate,11,Opening,f2f3,80,-595,675,675,Blunder,6,White,f3,r1b1kbnr/pppp1ppp/5q2/8/3QP3/8/PPP2PPP/RNB1KB1R w KQkq - 1 6,Pawn move,Non-capture,Kingside-related,Opening blunder,Kingside weakening move
131,2026.03.09,White,orthobro555,Loss,180+2,orthobro555 won by checkmate,71,Middlegame,b3c4,-922,-9999,9077,1000,Blunder,36,White,Kc4,6k1/1ppr4/p6p/5pp1/1P6/PKR5/8/3q4 w - - 2 36,Piece move,King move,Queenside-related,Middlegame blunder,Unsafe king move
133,2026.03.09,Black,ali_2561,Loss,180+2,ali_2561 won by checkmate,30,Middlegame,c8b7,22,-417,439,439,Blunder,15,Black,Bb7,r1bq3r/3pkpQp/p1p1p3/8/8/3Bb3/PP4PP/RN3R1K b - - 1 15,Piece move,Non-capture,Queenside-related,Early middlegame blunder,Quiet move blunder
